# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1788947525299000000,1788947585530000000,42
cacheStateStorage.get.counter,1788947525299000000,1788947585530000000,5
cacheStateStorage.set.duration,1788947525299000000,1788947585530000000,11
cacheStateStorage.set.counter,1788947525299000000,1788947585530000000,1
VFS.cache.directoriesCreated,1788947525299000000,1788947585530000000,0
VFS.contentStorage.recordsReadDecompressed,1788947525299000000,1788947585530000000,0
VFS.ContentWriter.totalTimeSpentOnAsyncOperationsUs,1788947525299000000,1788947585530000000,0
VFS.cache.filesCreated,1788947525299000000,1788947585530000000,0
VFS.folderCaseSensitivityReads,1788947525299000000,1788947585530000000,0
FileNameCache.queries,1788947525299000000,1788947585530000000,0
VFS.ContentWriter.totalTasksExecutedSync,1788947525299000000,1788947585530000000,0
VFS.ContentWriter.totalFlushes,1788947525299000000,1788947585530000000,0
VFS.fileByIdCache.hits,1788947525299000000,1788947585530000000,0
VFS.fileChildByName,1788947525299000000,1788947585530000000,0
VFS.invertedFileNameIndex.requests,1788947525299000000,1788947585530000000,0
VFS.contentStorage.recordsRead,1788947525299000000,1788947585530000000,0
VFS.cache.segments,1788947525299000000,1788947585530000000,0
VFS.contentStorage.recordsStoredCompressed,1788947525299000000,1788947585530000000,0
FileNameCache.totalMisses,1788947525299000000,1788947585530000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1788947525299000000,1788947585530000000,0
VFS.contentStorage.recordsStored,1788947525299000000,1788947585530000000,0
VFS.rootsCount,1788947525299000000,1788947585530000000,0.0
VFS.ContentWriter.totalTasksExecutedAsync,1788947525299000000,1788947585530000000,0
VFS.contentStorage.recordsUncompressedSize,1788947525299000000,1788947585530000000,0
VFS.contentStorage.recordsDeduplicated,1788947525299000000,1788947585530000000,0
VFS.fileByIdCache.misses,1788947525299000000,1788947585530000000,0
VFS.cache.segmentsCreated,1788947525299000000,1788947585530000000,0
VFS.ContentWriter.totalTimeSpentOnSyncOperationsUs,1788947525299000000,1788947585530000000,0
